time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
20:38:28.443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:38:29.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:38:30.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:38:31.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:38:32.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:38:33.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:38:34.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:38:35.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20:38:36.478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
