time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
15:27:54.229,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:55.227,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:56.228,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:57.211,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:58.228,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:27:59.228,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:00.245,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:01.228,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:02.228,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:03.229,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:04.227,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:05.244,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:06.245,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
15:28:07.245,Beth,Alex,Chloe,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
