time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
09:04:14.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:15.622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:16.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:17.604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:18.654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:19.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:20.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:21.826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:22.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:23.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:24.992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:26.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:27.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:28.097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:29.151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:30.191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:31.233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:32.301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:04:33.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
