time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
09:27:34.255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:35.253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:36.250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:37.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:38.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:39.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:40.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:41.320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:42.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:43.368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:44.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:45.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:46.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:47.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:48.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:49.462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:50.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:51.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:52.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:53.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:54.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:55.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:56.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:57.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:58.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:59.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:00.726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:01.739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:02.765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:03.779,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:04.794,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:05.810,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:06.828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:07.859,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:08.877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:09.884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:10.900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:11.931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
