time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
09:28:14.910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:15.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:16.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:17.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:18.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:19.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:20.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:21.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:22.979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:24.008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:25.013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:26.030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:27.060,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:28.066,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:29.084,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:30.102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:31.121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:32.150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:33.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:34.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:35.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:36.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
