time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
09:27:26.731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:27.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:28.450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:29.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:30.476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:31.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:32.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:33.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:34.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:35.532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:36.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:37.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:38.586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:39.602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:40.618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:41.637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:42.656,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:43.674,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:44.692,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:45.708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:46.726,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:47.743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:48.763,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:49.781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:50.866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:51.864,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:52.882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:53.899,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:54.918,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:55.936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:56.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:57.970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:27:59.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:00.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:00.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:01.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:02.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:03.976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:04.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:06.013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:07.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:08.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:09.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:10.082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:11.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:12.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:28:13.135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
