time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
16:11:34.670,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:35.343,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:36.344,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:37.346,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:38.346,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:39.348,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:40.366,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:41.384,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:42.402,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:43.420,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:44.421,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:45.437,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:46.455,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:47.474,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:48.492,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:49.508,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:50.526,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:51.543,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:52.545,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:53.547,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:54.546,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:55.565,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:56.581,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:57.599,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:58.618,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:11:59.635,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:12:00.653,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:12:01.652,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:12:02.671,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:12:03.689,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
16:12:04.689,Alex,Beth,# 3,# 4,# 5,# 6,# 7,# 8,# 9,# 1 0,# 1 1,# 1 2,# 1 3,# 1 4,# 1 5,# 1 6,# 1 7,# 1 8,# 1 9,# 2 0
